Strain,Replicate,day,Fluor,NonFluor,fracNonFluor
1,1,0,69.16666667,134,0.659557014
2,1,0,74.16666667,86,0.536940687
3,1,0,67.16666667,68.16666667,0.503694581
4,1,0,102.1666667,122.3333333,0.544914625
5,1,0,166,111.6666667,0.402160864
6,1,0,151.6666667,76.33333333,0.334795322
1,10,0,312.3333333,47.66666667,0.132407407
2,10,0,243,88.33333333,0.266599598
3,10,0,229.3333333,11.16666667,0.046431046
4,10,0,294.5,6.166666667,0.020509978
5,10,0,327.1666667,9.5,0.028217822
6,10,0,251.8333333,5.333333333,0.02073882
1,2,0,139.8333333,39.33333333,0.219534884
2,2,0,138,43,0.237569061
3,2,0,182,48.16666667,0.209268646
4,2,0,137,55.5,0.288311688
5,2,0,93,66.33333333,0.416317992
6,2,0,119.6666667,47.33333333,0.283433134
1,3,0,52.66666667,67.66666667,0.56232687
2,3,0,94,89.66666667,0.488203267
3,3,0,149.3333333,95.83333333,0.390890551
4,3,0,118.6666667,96.5,0.448489543
5,3,0,152.3333333,77.33333333,0.336719884
6,3,0,161.1666667,89.5,0.357047872
1,4,0,266.1666667,41.16666667,0.133947939
2,4,0,169.1666667,134,0.4420011
3,4,0,231,93.66666667,0.288501027
4,4,0,195,63,0.244186047
5,4,0,220.6666667,79,0.263626251
6,4,0,207,80.83333333,0.280833816
1,5,0,76,177.3333333,0.7
2,5,0,119,225.1666667,0.654237288
3,5,0,82.5,184.6666667,0.691203993
4,5,0,115,188.3333333,0.620879121
5,5,0,115.3333333,181.3333333,0.611235955
6,5,0,193.6666667,125.3333333,0.392894462
1,6,0,174.5,125.8333333,0.418978912
2,6,0,253.1666667,164.8333333,0.394338118
3,6,0,180.3333333,79.83333333,0.30685458
4,6,0,242.1666667,117.5,0.326691381
5,6,0,297.8333333,132.6666667,0.308168796
6,6,0,117.1666667,98.5,0.456723338
1,7,0,108,135.6666667,0.556771546
2,7,0,193.1666667,149.1666667,0.435735151
3,7,0,198.1666667,145.1666667,0.422815534
4,7,0,128.5,123.1666667,0.489403974
5,7,0,166,102.5,0.381750466
6,7,0,183.3333333,88.16666667,0.324739104
1,8,0,164.6666667,101,0.380175659
2,8,0,171,112.6666667,0.397179788
3,8,0,125.5,121.1666667,0.491216216
4,8,0,196.8333333,97.66666667,0.33163554
5,8,0,125.5,78.83333333,0.385807504
6,8,0,122,73.5,0.375959079
1,9,0,53.16666667,113.8333333,0.681636727
2,9,0,166.5,107.6666667,0.392705167
3,9,0,82.16666667,320.5,0.795943709
4,9,0,121.5,219.6666667,0.643869077
5,9,0,112.5,147,0.566473988
6,9,0,163.6666667,126.1666667,0.435307648
1,1,1,13066.66667,7166.666667,0.354200988
2,1,1,12800,5716.666667,0.308730873
3,1,1,17716.66667,8133.333333,0.314635719
4,1,1,23916.66667,12550,0.344149909
5,1,1,23050,11250,0.327988338
6,1,1,39450,10033.33333,0.202761873
1,10,1,20316.66667,32116.66667,0.61252384
2,10,1,17266.66667,32483.33333,0.652931323
3,10,1,12033.33333,28166.66667,0.70066335
4,10,1,10850,21366.66667,0.663217796
5,10,1,14333.33333,20266.66667,0.585741811
6,10,1,16883.33333,13633.33333,0.44675041
1,2,1,24416.66667,8166.666667,0.250639386
2,2,1,30816.66667,7100,0.187252747
3,2,1,21166.66667,8700,0.291294643
4,2,1,16900,6300,0.271551724
5,2,1,18816.66667,6500,0.25674786
6,2,1,18633.33333,6800,0.267365662
1,3,1,15116.66667,12250,0.447624848
2,3,1,12183.33333,19133.33333,0.610963278
3,3,1,22533.33333,18366.66667,0.449062755
4,3,1,24350,24650,0.503061224
5,3,1,12500,21100,0.62797619
6,3,1,13433.33333,23900,0.640178571
1,4,1,12016.66667,19583.33333,0.619725738
2,4,1,15400,16250,0.51342812
3,4,1,10333.33333,19716.66667,0.656128674
4,4,1,8983.333333,17466.66667,0.660365469
5,4,1,10683.33333,11400,0.516226415
6,4,1,13283.33333,9683.333333,0.421625544
1,5,1,15216.66667,16966.66667,0.527187985
2,5,1,11866.66667,23250,0.662078785
3,5,1,14500,21950,0.602194787
4,5,1,15266.66667,23350,0.6046612
5,5,1,12116.66667,23350,0.658364662
6,5,1,14000,23600,0.627659574
1,6,1,17383.33333,29633.33333,0.630272953
2,6,1,17350,31433.33333,0.644345746
3,6,1,17600,31150,0.638974359
4,6,1,17800,21316.66667,0.544951001
5,6,1,14333.33333,20200,0.584942085
6,6,1,16816.66667,12733.33333,0.430908065
1,7,1,22300,15583.33333,0.411350638
2,7,1,23183.33333,15666.66667,0.403260403
3,7,1,25050,29466.66667,0.54050749
4,7,1,32966.66667,32333.33333,0.495150587
5,7,1,25633.33333,33766.66667,0.568462402
6,7,1,20166.66667,25766.66667,0.56095791
1,8,1,15700,30733.33333,0.661880833
2,8,1,16016.66667,30083.33333,0.652566884
3,8,1,16433.33333,27833.33333,0.62876506
4,8,1,15966.66667,26883.33333,0.627382342
5,8,1,13366.66667,24133.33333,0.643555556
6,8,1,14166.66667,12533.33333,0.469413233
